street	year	floor	area	date	amount
Богдана Хмельницкого	1995	1	54.3	2025-10-01	6990000.0
Молодежная 3-я	1981	7	52.9	2025-10-01	3698211.0
Омская	1989	6	63.1	2025-10-01	6200000.0
Андрианова	1962	3	28.7	2025-10-01	2500000.0
Кирова	1975	1	40.9	2025-10-01	400000.0
Леонида Маслова	2021	5	40.8	2025-10-01	4250000.0
Полторацкого	1961	1	40.2	2025-10-01	3650000.0
Леонида Маслова	2024	3	52.4	2025-10-01	7100000.0
Конева	2016	7	81.6	2025-10-01	10000000
Заозерная	1972	4	43.6	2025-10-01	4700000.0
Королева	1986	1	53.8	2025-10-01	1700000.0
Туполева	2008	10	60.3	2025-10-01	7220000.0
Мира	1979	6	60.8	2025-10-01	5800000.0
Карбышева	1978	5	34	2025-10-01	3150000.0
Молодогвардейская	1968	2	16.7	2025-10-01	1470000.0
Мира	1965	1	61.400000000000006	2025-10-01	4350000.0
Химиков	2013	2	43.6	2025-10-01	6990000.0
Леонида Маслова	2024	10	197.9	2025-10-01	22935000.0
Дианова	1991	8	38.4	2025-10-01	3990000.0
Вокзальная	2025	11	571.9000000000001	2025-10-01	75578000.0
6-й Амурский	2024	7	76.4	2025-10-01	9410000.0
			1944.43	2025-10-01	398759861
Степанца	1982	1	104	2025-10-01	10600000.0
Завертяева	2015	8	36.5	2025-10-01	3600000.0
Рощинская	1975	1	76.1	2025-10-01	4150000.0
Малиновского	2006	10	32.9	2025-10-01	3990000.0
Лесной	1978	3	31.1	2025-10-01	520000.0
Взлетная	2020	8	52.3	2025-10-01	8650000.0
Комарова	2008	7	89.8	2025-10-01	11000000
19 Партсъезда	1965	5	44.5	2025-10-01	3600000.0
12 Декабря	2008	10	56.2	2025-10-01	7000000.0
Богдана Хмельницкого	1949	2	34.4	2025-10-01	3600000.0
Поселковая 2-я	1988	1	30.5	2025-10-01	3450000.0
Островская 1-я	1957	1	18	2025-10-01	1400000.0
Северная 24-я	1990	5	40.1	2025-10-01	4100000.0
Ленина	1979	2	35.6	2025-10-01	1700000.0
Малая Ивановская	1975	2	29.1	2025-10-01	3500000.0
Путилова	1974	1	47.7	2025-10-01	4000000.0
Енисейская 3-я	2011	10	24.5	2025-10-01	3300000.0
Комсомольская	1986	1	82.9	2025-10-01	80000.0
Спортивный	1960	1	88.19999999999999	2025-10-01	8000000.0
Поселковая 2-я	2018	1	56.8	2025-10-01	7500000.0
Линия 6-я	2013	3	39.4	2025-10-01	7000000.0
Казахстанская 1-я	1982	2	29.2	2025-10-01	900000.0
Карла Маркса	1974	8	44.4	2025-10-01	5500000.0
Перелета	2015	14	64.5	2025-10-01	9400000.0
Королева	2024	14	86	2025-10-01	14606440.0
Звездова	1987	8	52.6	2025-10-01	5600000.0
20 лет РККА	1985	9	37.4	2025-10-01	3060000.0
Александра Захарченко	2025	3	37.7	2025-10-01	4500000.0
	2012	3	73.7	2025-10-01	7300000.0
Ленина	1967	2	34	2025-10-01	1200000.0
Орджоникидзе	1982	3	102	2025-10-01	2900000.0
Дианова	1988	5	37.2	2025-10-01	4250000.0
2-я Ленинградская	1984	5	55.900000000000006	2025-10-01	3840000.0
Белозерова	1969	4	62.2	2025-10-01	6000000.0
Кордная 5-я	1962	3	18.4	2025-10-01	600000.0
Мамина-Сибиряка	1968	3	44.8	2025-10-01	5225000.0
Калинина	1974	5	103.2	2025-10-01	4300000.0
Волховстроя	1969	3	61.5	2025-10-01	5500000.0
Багратиона	1967	4	75.9	2025-10-01	6550000.0
Молодежная 3-я	1972	1	44	2025-10-01	2000000.0
1-й Амурский	2022	9	37	2025-10-01	4190000.0
Самарская 1-я	1966	2	25.3	2025-10-01	2575000.0
Блюхера	1988	3	27	2025-10-01	3580000.0
Амурская 21-я	1971	1	58.8	2025-10-01	4500000.0
8-я Линия	2007	5	68	2025-10-01	7500000.0
20 лет РККА	1990	8	75	2025-10-01	6500000.0
	1966	5	55	2025-10-01	4460000.0
А.Н.Кабанова	2023	10	147.8	2025-10-01	22880000.0
В.Ф.Маргелова	1993	5	37.4	2025-10-01	2800000.0
Перелета	1978	5	32.5	2025-10-01	3680000.0
Красный Путь	2018	9	102.2	2025-10-01	19950000.0
Мира	1959	3	19.5	2025-10-01	900000.0
Комарова	1988	6	37.4	2025-10-01	4100000.0
Магистральная	1961	5	12.1	2025-10-01	920000.0
Линия 27-я	1960	2	51.9	2025-10-01	2238000.0
Лермонтова	1977	2	29.8	2025-10-01	4400000.0
Краснознаменная	2006	3	52.7	2025-10-01	4650000.0
Северная 28-я	2006	6	37.8	2025-10-01	3000000.0
Магистральная	1962	3	120.4	2025-10-01	10500000.0
Серова	1970	8	32.2	2025-10-01	3200000.0
20 лет РККА	1989	6	64.7	2025-10-01	8600000.0
Белозерова	1987	5	86.9	2025-10-01	8500000.0
Северная 24-я	2005	6	36.9	2025-10-01	4830000.0
Н.М.Ядринцева	2007	9	33.3	2025-10-01	3200000.0
22 Апреля	1980	2	17	2025-10-01	1250000.0
Ватутина	2012	2	66.4	2025-10-01	2500000.0
Чередовая 6-я	1991	6	40.2	2025-10-01	3700000.0
Советская	1979	1	66.5	2025-10-01	912162.09
Космический	1968	3	17.4	2025-10-01	1150000.0
Худенко	1985	1	14.9	2025-10-01	1550000.0
Лукашевича	1981	1	63.7	2025-10-01	4700000.0
60 лет Победы	2007	3	35.3	2025-10-01	2000000.0
Завертяева	2016	3	92.19999999999999	2025-10-01	6050000.0
Андрианова	1962	4	121	2025-10-01	12280000.0
Иртышская Набережная	1968	3	41.4	2025-10-01	4680000.0
Яковлева	1977	4	59	2025-10-01	6000000.0
10 лет Октября	1968	3	72.7	2025-10-01	5375000.0
В.Ф.Маргелова	1990	2	36.5	2025-10-01	3400000.0
Масленникова	1968	5	58.6	2025-10-01	6450000.0
19 Партсъезда	1976	7	33.1	2025-10-01	2900000.0
Центральная	1979	2	43.4	2025-10-01	3750000.0
50 лет Октября	1989	1	88.5	2025-10-01	3250000.0
Колхозная	1971	1	40.8	2025-10-01	3200000.0
Химиков	1968	4	45.6	2025-10-01	3900000.0
4-й Амурский	2024	10	73.9	2025-10-01	10460000.0
Северная 28-я	2007	1	121.8	2025-10-01	11500000.0
Амурская 21-я	2015	6	37	2025-10-01	3350000.0
Конева	1948	1	63.1	2025-10-01	6250000.0
Энтузиастов	1967	1	41.6	2025-10-01	4250000.0
Крупской			3104.0200000000004	2025-10-01	444568532.71
Зеленая	1978	1	38.9	2025-10-01	1800000.0
Парковая	1990	2	62.8	2025-10-01	650000.0
Пархоменко	1958	1	120.30000000000001	2025-10-01	7500000.0
Дмитриева	1987	11	31.5	2025-10-01	4660000.0
Гашека	1980	2	46.8	2025-10-01	913000.0
Амурский 3-й	2019	1	71.9	2025-10-01	8030000.0
Худенко	1985	2	31.2	2025-10-01	2600000.0
Железнодорожная 4-я	1982	5	10.9	2025-10-01	420000.0
Жуковского	1983	6	37.1	2025-10-01	3000000.0
Мельничная	2013	3	44.9	2025-10-01	4700000.0
В.Ф.Маргелова	1990	3	47.7	2025-10-01	2890000.0
Карла Маркса	1958	5	74.3	2025-10-01	6800000.0
Багратиона	1964	4	59.2	2025-10-01	2250000.0
Карла Маркса	1998	3	69.9	2025-10-01	10000000
70 лет Октября	1995	8	52.2	2025-10-01	5830000.0
Амурская 21-я	2015	9	36.7	2025-10-01	4700000.0
Омская	2005	9	91.9	2025-10-01	11200000
Рощинская	1975	3	16.8	2025-10-01	1000000.0
Карбышева	2010	8	61.5	2025-10-01	7200000.0
Перелета	2015	12	274	2025-10-01	34190000.0
2-я Железнодорожная	1984	8	85.9	2025-10-01	6650000.0
Мира	1983	3	59.2	2025-10-01	4640000.0
Перелета	2014	13	101.8	2025-10-01	13750000.0
Железнодорожная 4-я	1982	5	49.5	2025-10-01	4050000.0
Мамина-Сибиряка	1968	1	44.8	2025-10-01	4020000.0
Березовая	1982	2	43.6	2025-10-01	3000000.0
Котовского	1973	3	43.6	2025-10-01	4450000.0
Северная 27-я	1974	5	30.7	2025-10-01	3550000.0
Мира	1987	3	37.7	2025-10-01	1500000.0
Заречный	1981	8	37	2025-10-01	4250000.0
Масленникова	1953	1	50.8	2025-10-01	4500000.0
Карбышева	1978	6	34.4	2025-10-01	3150000.0
	2007	4	33.6	2025-10-01	3800000.0
Южная	1970	2	30.4	2025-10-01	1600000.0
Пригородная	2014	8	35.8	2025-10-01	4200000.0
Северная 24-я	2003	5	55.2	2025-10-01	7500000.0
Кузнецова	1977	5	43.7	2025-10-01	4250000.0
Взлетная	1978	4	130.60000000000002	2025-10-01	13700000.0
Амурский 3-й	2018	4	33.5	2025-10-01	4000000.0
Степанца	1979	5	45.6	2025-10-01	3800000.0
Комарова	1988	4	52.9	2025-10-01	2300000.0
Кордная 5-я	1989	5	51.8	2025-10-01	4100000.0
Кучерявенко	1971	2	30.6	2025-10-01	3530000.0
33-я Северная			8476.39	2025-10-01	1279645735
Труда	1972	2	75.7	2025-10-01	2000000.0
Кордная 4-я	1998	4	30.1	2025-10-01	2650000.0
Менделеева	1972	5	30.6	2025-10-01	3150000.0
Фрунзе	2006	8	47.4	2025-10-01	7840000.0
Мира	1959	3	39.4	2025-10-01	1624100.0
3-я Кордная	1974	3	59.1	2025-10-01	4300000.0
Менделеева	1993	6	146.5	2025-10-01	13990000.0
Крупской	2015	5	176.7	2025-10-01	23910000.0
Любинская 2-я	1966	2	55.4	2025-10-01	3700000.0
Кемеровская			278.84999999999997	2025-10-01	62886000
Яснополянский	2019	3	108.8	2025-10-01	12020000.0
Станционная 1-я	1988	2	29.1	2025-10-01	2100000.0
Королева	1986	4	93.2	2025-10-01	9270000.0
Линия 20-я	1981	2	44.8	2025-10-01	5100000.0
Комкова		5	44.3	2025-10-01	4250000.0
Космический	1989	2	63.6	2025-10-01	5250000.0
70 лет Октября	1987	6	36.9	2025-10-01	5150000.0
Омская	2005	4	46.7	2025-10-01	2000000.0
Леонида Маслова	2024	11	145.5	2025-10-01	18080000.0
Герцена	2006	3	36.7	2025-10-01	4930000.0
Ватутина	2012	4	53.8	2025-10-01	8400000.0
Поселковая 2-я	2010	7	61.2	2025-10-01	7800000.0
Сибирский	2015	9	33.1	2025-10-01	3800000.0
Магистральная	1962	2	45.2	2025-10-01	3095000.0
Александровская	1971	1	36	2025-10-01	600000.0
Мельничная	2000	1	34.8	2025-10-01	3500000.0
Взлетная	2001	5	47.9	2025-10-01	5000000.0
Кордная 5-я	1960	1	29.3	2025-10-01	2900000.0
Степанца	1984	9	30.1	2025-10-01	3550000.0
Маршала Жукова	2011	3	86.9	2025-10-01	13200000
Мира	1971	5	17.5	2025-10-01	1480000.0
Юбилейная	1989	1	91.7	2025-10-01	3000000.0
Амурская 21-я	2015	9	37	2025-10-01	4600000.0
Гуртьева	1963	2	84	2025-10-01	7205000.0
Завертяева	2023	2	31.2	2025-10-01	3400000.0
50 лет Октября	1978	2	47.1	2025-10-01	2400000.0
50 лет Профсоюзов	2012	1	34.7	2025-10-01	5300000.0
Лукашевича	1974	3	76.9	2025-10-01	7300000.0
Животноводов	1983	2	71.3	2025-10-01	150000.0
Поселковая 2-я	1984	3	42	2025-10-01	5400000.0
Химиков	1989	1	163.2	2025-10-01	13300000.0
6-й Амурский	2024	5	76.4	2025-10-01	9510000.0
Мира	1967	2	45.7	2025-10-01	935000.0
Кирова	2024	7	34.9	2025-10-01	4452333.0
Леонида Маслова	2024	2	100.8	2025-10-01	11087500.0
Мира	1970	4	115.6	2025-10-01	8170000.0
Масленникова	1988	9	50.4	2025-10-01	5770000.0
Степная	1981	1	69	2025-10-01	2995000.0
Челюскинцев	1971	1	44.4	2025-10-01	3700000.0
Вокзальная	2025	4	230.49999999999997	2025-10-01	31001000.0
22 Партсъезда	1963	5	75	2025-10-01	4810000.0
10 лет Октября	1987	9	53	2025-10-01	6650000.0
Поселковая 2-я	1984	2	44.1	2025-10-01	4800000.0
Береговая	1965	1	54.6	2025-10-01	250000.0
Энтузиастов	1966	2	58.9	2025-10-01	6000000.0
3-я Железнодорожная	1990	4	53.7	2025-10-01	5000000.0
			284	2025-10-01	31100000
Карла Маркса	2023	5	106.4	2025-10-01	16300000
Степанца	1982	8	62.1	2025-10-01	5580000.0
50 лет ВЛКСМ	1970	1	48.9	2025-10-01	500000.0
8-я Линия	2024	4	78.69999999999999	2025-10-01	12690000.0
В.М.Шукшина	2022	4	102.3	2025-10-01	13800000
Моторная	1980	7	59.6	2025-10-01	5600000.0
Линия 6-я	2013	2	47.3	2025-10-01	7400000.0
Крупской	2003	6	40.1	2025-10-01	4900000.0
Кирова	2015	15	42.8	2025-10-01	5200000.0
Богдана Хмельницкого	1948	3	36.4	2025-10-01	3750000.0
Фугенфирова	1986	8	30.5	2025-10-01	3200000.0
Вокзальная	2025	1	31.6	2025-10-01	4424000.0
Ф.И.Тютчева	2012	3	143.4	2025-10-01	24000000
Глинки	1968	2	21.3	2025-10-01	2250000.0
Бородина	1974	5	59	2025-10-01	4600000.0
Титова	1974	1	36.5	2025-10-01	2800000.0
Строительная	1960	2	34.5	2025-10-01	1600000.0
Сергея Тюленина	2025	4	644.6	2025-10-01	98720000.0
Дмитриева	1984	1	63.7	2025-10-01	8300000.0
Спортивная	2020	10	50.2	2025-10-01	1111669.0
Звездная	1979	5	30.4	2025-10-01	1850000.0
Пролетарская	1972	2	21.6	2025-10-01	1000000.0
М.М.Кузьмина	2011	3	38.3	2025-10-01	5500000.0
Карла Маркса	2023	4	102.3	2025-10-01	22000000
Бережного	1982	4	44.7	2025-10-01	4300000.0
Завертяева	2023	4	30.5	2025-10-01	3650000.0
Транспортная 4-я	2007	7	40	2025-10-01	5250000.0
М.М.Кузьмина	2016	5	37.6	2025-10-01	5100000.0
Енисейская 3-я	2011	4	40.1	2025-10-01	4950000.0
Яковлева	1995	2	33.6	2025-10-01	4790000.0
Мира	1968	3	51.3	2025-10-01	2910000.0
Заречная 4-я	1971	4	29.9	2025-10-01	2330000.0
Маяковского	1965	1	70.69999999999999	2025-10-01	1010000.0
Трамвайная 2-я	1989	6	29.3	2025-10-01	2750000.0
	2019	5	39.5	2025-10-01	4800000.0
Поселковая 2-я	2018	10	57.2	2025-10-01	7900000.0
Дианова	1977	9	46.7	2025-10-01	5800000.0
4-я Северная	2024	4	62.5	2025-10-01	7750000.0
Завертяева	2012	10	126.10000000000001	2025-10-01	12000000.0
Профинтерна	1964	1	30.5	2025-10-01	1844000.0
Зеленая	1980	1	50	2025-10-01	840000.0
Гагарина	1964	2	44.4	2025-10-01	690000.0
Пригородная 1-я	2016	3	69.9	2025-10-01	4000000.0
Блюхера	1974	1	31	2025-10-01	2960000.0
Сулеймана Стальского	1994	5	45.7	2025-10-01	4970000.0
Камерный	1968	2	143.2	2025-10-01	11570000.0
Энергетиков	1958	1	32.1	2025-10-01	3150000.0
Гашека	1982	7	43.5	2025-10-01	4500000.0
Красный Путь	2023	3	121	2025-10-01	12010000.0
Владимира Жоги	2024	10	66.1	2025-10-01	7000000.0
Нефтезаводская	1965	4	44.6	2025-10-01	3000000.0
Энергетиков	1954	2	49.6	2025-10-01	3570000.0
Андрианова	1966	2	140.9	2025-10-01	14450000.0
Молодежная 3-я	1981	3	51.4	2025-10-01	3800000.0
Сибирская	1971	1	46.5	2025-10-01	750000.0
Волгоградская	2012	1	114.7	2025-10-01	10300000.0
Каховская	1984	3	17.6	2025-10-01	1490000.0
Ватутина	1974	3	45.1	2025-10-01	1030000.0
Сулеймана Стальского	1976	7	42.9	2025-10-01	5190000.0
Пригородная 1-я	2015	6	36.9	2025-10-01	4800000.0
Химиков	2013	4	42.5	2025-10-01	6700000.0
Шебалдина	2019	9	60.2	2025-10-01	7200000.0
Челюскинцев	1970	2	29.8	2025-10-01	2500000.0
Любинская 4-я	1974	2	29.4	2025-10-01	3080000.0
Амурская 21-я	1967	3	63.9	2025-10-01	3800000.0
Пригородная	2018	10	45.1	2025-10-01	5025000.0
Кропотова	2013	2	38.4	2025-10-01	2400000.0
Гашека	1980	2	47.8	2025-10-01	4160000.0
Энергетиков	1966	4	46.2	2025-10-01	3600000.0
Мира	1987	1	68.5	2025-10-01	2200000.0
Попова	1983	5	44.6	2025-10-01	2300000.0
Рождественского	1996	2	69.9	2025-10-01	9200000.0
70 лет Октября	1993	5	62.1	2025-10-01	6050000.0
Романенко	1970	3	80.1	2025-10-01	6900000.0
Комкова	2010	1	49.7	2025-10-01	5470000.0
Менжинского	1971	5	55.7	2025-10-01	4400000.0
Красный Путь	2024	13	276.3	2025-10-01	29128000.0
8 Марта	1991	3	62.6	2025-10-01	3350000.0
Пушкина	1987	3	34.1	2025-10-01	1450000.0
6-й Амурский	2024	6	153.2	2025-10-01	18270000.0
Звездова	1986	1	94	2025-10-01	9080000.0
Юбилейная	1969	1	69.6	2025-10-01	200000.0
Куйбышева	2010	6	45.6	2025-10-01	6400000.0
Масленникова	1990	8	36.4	2025-10-01	2000000.0
Сибирский	1980	1	31	2025-10-01	3200000.0
Кропотова	1968	1	41	2025-10-01	1500000.0
Ангарская	1977	4	43.2	2025-10-01	4900000.0
Маяковского	1937	2	62.1	2025-10-01	10000000
Гусарова	2024	6	44	2025-10-01	6684501.0
50 лет ВЛКСМ	1968	2	44.9	2025-10-01	3600000.0
Карла Маркса	1986	5	47.2	2025-10-01	6650000.0
Королева	2024	8	81.1	2025-10-01	12542160.0
Светлая	1968	5	86.3	2025-10-01	7450000.0
Северная 5-я	1986	9	49.9	2025-10-01	4900000.0
Бархатовой	2012	9	55.5	2025-10-01	5850000.0
Бородина	1984	9	29.8	2025-10-01	2790000.0
Комсомольская	1968	1	40.2	2025-10-01	1900000.0
Дачная 2-я	1988	4	49.4	2025-10-01	9970000.0
Молодежная	1987	2	50.2	2025-10-01	4000000.0
Космический	2009	7	86.30000000000001	2025-10-01	6700000.0
75 Гвардейской бригады	1982	8	60	2025-10-01	5720000.0
Ленина	1976	2	58	2025-10-01	2500000.0
Луговая	1989	3	47.2	2025-10-01	1500000.0
Нефтезаводская	1965	5	30.3	2025-10-01	2560000.0
8 Марта	1959	1	43.9	2025-10-01	5000000.0
Ремесленная 11-я	1953	1	19	2025-10-01	850000.0
Учебная	1980	11	31.9	2025-10-01	4400000.0
Чокана Валиханова	1990	14	69.5	2025-10-01	11700000
Лукашевича	1978	5	9.8	2025-10-01	1000000.0
Степанца	1993	2	63.5	2025-10-01	6000000.0
Дмитриева	1988	3	62.9	2025-10-01	3263063.0
75 Гвардейской бригады	1969	3	105.1	2025-10-01	9000000.0
Куломзинская	2010	7	57	2025-10-01	6200000.0
Заречный	1981	1	30.1	2025-10-01	3400000.0
Юбилейная	1980	1	66.1	2025-10-01	1000000.0
10 лет Октября	1988	10	67.6	2025-10-01	5000000.0
Мира	1973	2	86.4	2025-10-01	5950000.0
Архитекторов	2020	11	77.2	2025-10-01	10300000.0
Нахимова	1975	5	17.1	2025-10-01	1227000.0
Масленникова	1989	2	33.8	2025-10-01	3670000.0
Крупской	1984	3	155.2	2025-10-01	17650000.0
Багратиона	1968	4	39.3	2025-10-01	3500000.0
Солнечная 2-я	1966	3	44.5	2025-10-01	4600000.0
Дмитриева	2005	2	37.3	2025-10-01	4450000.0
50 лет ВЛКСМ	1982	2	39.9	2025-10-01	2859111.0
Комсомольская	2010	1	42	2025-10-01	600000.0
Конева	1989	2	50.6	2025-10-01	4750000.0
Дмитриева	1984	9	70.30000000000001	2025-10-01	6830000.0
Багратиона	1964	3	44.2	2025-10-01	780000.0
Яковлева	2025	7	47.5	2025-10-01	6000000.0
4-я Железнодорожная	1982	5	17	2025-10-01	1100000.0
Петра Осминина	1966	2	45.6	2025-10-01	4000000.0
Омская	2005	5	103.4	2025-10-01	11800000
Краснознаменная	1975	1	62.8	2025-10-01	3890000.0
70 лет Октября	1991	2	63.6	2025-10-01	6700000.0
Космический	1979	2	53.1	2025-10-01	5310000.0
Конева	1990	2	115.9	2025-10-01	8550000.0
Энтузиастов	1970	1	13.5	2025-10-01	1660000.0
Суровцева	1977	7	17.5	2025-10-01	1200000.0
Краснознаменная	1976	1	44.3	2025-10-01	2800000.0
Космический	2019	8	36.6	2025-10-01	5300000.0
Завертяева	2013	5	37.2	2025-10-01	4000000.0
Учхозная 2-я	1992	4	23.1	2025-10-01	1990000.0
Лукашевича	1982	8	122.4	2025-10-01	4600000.0
Красный Путь	2017	9	40	2025-10-01	9500000.0
Заречная	1991	1	50.2	2025-10-01	3850000.0
Полторацкого	1985	8	62.3	2025-10-01	6700000.0
Звездная	2009	1	91.6	2025-10-01	9750000.0
Маяковского	2008	9	47	2025-10-01	8900000.0
1-й Амурский	2019	5	36.6	2025-10-01	4200000.0
Линия 9-я	2009	6	64	2025-10-01	8000000.0
Мира	1965	1	40.7	2025-10-01	1900000.0
В.Ф.Маргелова	1992	1	54.6	2025-10-01	4300000.0
Комарова	1989	7	36.2	2025-10-01	4000000.0
Лазаревская	2022	5	33.3	2025-10-01	3600000.0
Любинская 3-я	2003	9	99.2	2025-10-01	9750000.0
Челюскинцев 1-я	2010	2	52.3	2025-10-01	6200000.0
Лермонтовский	1989	3	34.4	2025-10-01	1100000.0
Транспортная	1980	1	72.7	2025-10-01	4000000.0
Карбышева	1964	5	41.6	2025-10-01	3600000.0
Симиненко	1976	1	67.3	2025-10-01	127000.0
75 Гвардейской бригады	1968	4	59.3	2025-10-01	4700000.0
Нефтезаводская	1966	3	30.6	2025-10-01	2700000.0
Омская	1988	6	37.1	2025-10-01	3650000.0
Краснознаменная	2005	1	37.1	2025-10-01	3500000.0
Поселковая 2-я	2015	4	33.2	2025-10-01	3900000.0
Космический	2008	1	33.4	2025-10-01	4800000.0
5 Армии	2001	1	116.5	2025-10-01	10000000
Станционная 6-я	1956	1	41.9	2025-10-01	3900000.0
Серова	1971	2	46.6	2025-10-01	5720000.0
Дмитриева	1984	3	29.9	2025-10-01	3400000.0
Линия 7-я	1952	2	37.4	2025-10-01	2350000.0
Химиков	1989	4	63.7	2025-10-01	6700000.0
Черепова	1975	1	48.9	2025-10-01	1000000.0
Туполева	2010	9	39.1	2025-10-01	4800000.0
10 лет Октября	2005	2	113.7	2025-10-01	13000000
Туполева	1997	3	50.9	2025-10-01	6150000.0
Северная 24-я	1990	1	83	2025-10-01	7107200.0
Лазаревская	2024	5	30.8	2025-10-01	3450000.0
Заозерная	1983	4	31	2025-10-01	2830000.0
Менделеева	2008	4	71.8	2025-10-01	6550000.0
Северная 24-я	1970	4	48.6	2025-10-01	3890000.0
Мельничная	1982	5	28.6	2025-10-01	2859000.0
20 Партсъезда		1	37.599999999999994	2025-10-01	3950000.0
Заозерная	1988	2	69.2	2025-10-01	6500000.0
Садовая	1958	1	22.3	2025-10-01	565000.0
	1972	2	44.4	2025-10-01	2900000.0
Н.М.Ядринцева	2007	3	33.2	2025-10-01	3800000.0
Волкова	1971	4	28.5	2025-10-01	3000000.0
Комсомольская	1965	2	29.8	2025-10-01	1700000.0
Кирпичный завод N6	1964	4	72.9	2025-10-01	6959111.0
Светловская			8940.18	2025-10-01	1577197348
Учебная	1980	7	62.8	2025-10-01	7750000.0
Пушкина	1969	5	74.2	2025-10-01	7700000.0
Вострецова	1982	1	38.400000000000006	2025-10-01	3320000.0
Любинская 3-я	1987	7	29.4	2025-10-01	2550000.0
	1967	2	56.7	2025-10-01	3347000.0
Чокана Валиханова	1972	3	30.7	2025-10-01	6000000.0
Кирова	1988	2	25.2	2025-10-01	2000000.0
Заозерная	1995	8	63.3	2025-10-01	6950000.0
Королева	1972	6	102.4	2025-10-01	10870000.0
Ступникова	1967	2	38.6	2025-10-01	1333332.0
Космический	1977	2	62.1	2025-10-01	4600000.0
Олимпийская	1968	1	48.3	2025-10-01	3500000.0
Арнольда Нейбута	2008	6	111.3	2025-10-01	11000000
Комарова	2012	1	85.2	2025-10-01	13000000
Мира	1968	4	46.599999999999994	2025-10-01	3000000.0
Яснополянский	2016	2	30.2	2025-10-01	4100000.0
Красноармейская	1982	3	114.7	2025-10-01	9150000.0
Мельничная	2010	8	33.5	2025-10-01	3570000.0
Енисейская 3-я	2018	14	39.4	2025-10-01	5250000.0
Комарова	2020	12	77.2	2025-10-01	10150000.0
	1992	3	51	2025-10-01	3400000.0
Ленина	1988	1	35.5	2025-10-01	500000.0
Космический	1963	3	31.1	2025-10-01	2900000.0
Мира	1980	8	44	2025-10-01	3700000.0
Рокоссовского	1987	8	36.7	2025-10-01	3000000.0
Березовая	1982	5	44.4	2025-10-01	3000000.0
Мира	1983	4	30.8	2025-10-01	2400000.0
Интернациональная	1985	1	62.6	2025-10-01	1000000.0
	1972	3	29.3	2025-10-01	2620000.0
Волгоградская	2024	3	75.1	2025-10-01	9226080.0
Марьяновская 4-я	2005	5	33.3	2025-10-01	3300000.0
Пригородная	1976	5	59.7	2025-10-01	5450000.0
Космический	1968	2	33.400000000000006	2025-10-01	2550000.0
Бархатовой	1973	2	44	2025-10-01	4640000.0
Северная 27-я	2006	2	37.1	2025-10-01	4500000.0
Новостроевская	1986	1	48.2	2025-10-01	750000.0
Северная 27-я	1966	1	58.2	2025-10-01	4700000.0
Бородина	1984	5	29.8	2025-10-01	3900000.0
Садовая	1976	1	37.1	2025-10-01	2000000.0
Гусарова	2024	10	178.4	2025-10-01	23772000.0
Моторная	1981	2	60.7	2025-10-01	6000000.0
А.Н.Кабанова	2023	8	115.7	2025-10-01	15545000.0
Гашека	1980	8	126.4	2025-10-01	11300000.0
Комкова	1982	5	43.9	2025-10-01	4100000.0
Менделеева	1992	7	62	2025-10-01	6150000.0
Садовая	1989	1	51.7	2025-10-01	80000.0
Туполева	1978	5	53.8	2025-10-01	5500000.0
Зеленый	1989	2	66.8	2025-10-01	7100000.0
Рождественского	1959	4	32.7	2025-10-01	1650000.0
Кордная 3-я	1978	5	57.9	2025-10-01	1300000.0
Королева	2016	2	125.80000000000001	2025-10-01	13650000.0
22 Партсъезда	1964	2	29.1	2025-10-01	3000000.0
Пригородная	1996	10	77.2	2025-10-01	7100000.0
А.Н.Кабанова	2023	3	110.9	2025-10-01	14734000.0
Интернатовская	1970	2	27.2	2025-10-01	400000.0
Орджоникидзе	1979	3	30.9	2025-10-01	3400000.0
Елецкого	1988	1	30.1	2025-10-01	2500000.0
Челюскинцев	1965	4	30.2	2025-10-01	2000000.0
Крыловская	1991	4	50.4	2025-10-01	5100000.0
Космический	2008	9	52.2	2025-10-01	6200000.0
Королева	1972	2	44.7	2025-10-01	3600000.0
Малиновского	2006	2	33.5	2025-10-01	3820000.0
10 лет Октября	1975	2	17.8	2025-10-01	1500000.0
Волгоградская	2024	2	74	2025-10-01	9000000.0
Кирова	2024	5	38.4	2025-10-01	4500000.0
Учебная	2015	13	71.2	2025-10-01	10500000
Комарова	2012	7	64.6	2025-10-01	10300000
Берко Цемента	1968	2	62.7	2025-10-01	4350000.0
Линия 9-я	1986	6	70.3	2025-10-01	6400000.0
Энтузиастов	1967	4	56.5	2025-10-01	3670000.0
Масленникова	1990	3	68.4	2025-10-01	7100000.0
Энергетиков	1960	1	64.9	2025-10-01	4510000.0
Масленникова	1998	5	57.3	2025-10-01	2500000.0
Совхозная	1975	1	37.4	2025-10-01	436800.0
Коммунистическая	1963	2	43.6	2025-10-01	685610.0
3-я Енисейская	2009	11	36.6	2025-10-01	3950000.0
Карла Маркса	1974	2	47.9	2025-10-01	1000000.0
Багратиона	2018	9	27.6	2025-10-01	3550000.0
12 Декабря	2014	5	33	2025-10-01	4300000.0
Молодова	2013	6	75	2025-10-01	8000000.0
Взлетная	1978	3	37.4	2025-10-01	4500000.0
8-я Линия	2024	8	156.3	2025-10-01	25020000.0
Сулеймана Стальского	1991	4	36.8	2025-10-01	4290000.0
Лукашевича	1985	3	63.3	2025-10-01	7000000.0
