street	year	floor	area	date	amount
Луговая	1990	1	97.1	2025-10-01	4700000.0
Мира	1967	4	42.1	2025-10-01	4300000.0
Чкалова	1968	4	45.1	2025-10-01	5600000.0
20 Партсъезда	1961	3	40.6	2025-10-01	1200000.0
Космический	1962	4	72.8	2025-10-01	7000000.0
Лермонтова	1978	1	12.6	2025-10-01	1250000.0
70 лет Октября	1991	8	63	2025-10-01	7500000.0
Химиков	1980	4	22.7	2025-10-01	3000000.0
Менделеева	1970	1	31.1	2025-10-01	3050000.0
Машиностроительная	1991	7	66.4	2025-10-01	6640000.0
Багратиона	2018	14	45.2	2025-10-01	5750000.0
Чернышевского	2024	13	71.7	2025-10-01	12830000
Северная 27-я	1966	2	100	2025-10-01	7800000.0
Малиновского	2007	6	66.30000000000001	2025-10-01	8600000.0
Менделеева	1990	8	52	2025-10-01	2500000.0
Южная	1971	1	51.7	2025-10-01	50000.0
Завертяева	2008	10	37	2025-10-01	3650000.0
Новокирпичная	1987	3	35.2	2025-10-01	3440000.0
Мира	1958	3	57	2025-10-01	4550000.0
Биофабрика	2023	1	113.6	2025-10-01	10300000.0
Чокана Валиханова	1990	14	80.9	2025-10-01	10000000
Архиепископа Сильвестра	2018	9	28.6	2025-10-01	3760000.0
Победы	1973	2	31	2025-10-01	1900000.0
Любинская 4-я	2016	5	78.4	2025-10-01	7300000.0
Омская	2005	1	57.7	2025-10-01	3100000.0
Украинская	1968	1	56.8	2025-10-01	750000.0
Красный Путь	2024	15	270	2025-10-01	27000000.0
Молодежная 3-я	1980	8	46.7	2025-10-01	4500000.0
Чернышевского	2021	8	39.2	2025-10-01	3350000.0
15-я Рабочая	1991	6	91	2025-10-01	7000000.0
Ватутина	2012	10	66.7	2025-10-01	9999999.0
Мира	1980	5	105.6	2025-10-01	10600000.0
Бульварная	1989	5	59.7	2025-10-01	4500000.0
Транспортная 4-я	1962	3	16.9	2025-10-01	970000.0
1-й Красной Звезды	2023	3	59.2	2025-10-01	5770000.0
Дианова	1990	4	52.5	2025-10-01	5440000.0
Первомайский	1981	1	63	2025-10-01	2700000.0
Березовая	1987	1	87.5	2025-10-01	600000.0
Волочаевская	2011	9	98.6	2025-10-01	13000000
Октябрьская	2015	6	193.2	2025-10-01	29490152.0
Леконта	1981	5	25.1	2025-10-01	1930000.0
13-я Линия	2015	5	38.6	2025-10-01	6500000.0
Труда	1971	2	43.1	2025-10-01	3995000.0
Солнечная 2-я	1976	4	21.7	2025-10-01	1300000.0
Комсомольский	1958	1	34.4	2025-10-01	2300000.0
20 Партсъезда	1962	1	90.7	2025-10-01	9650000.0
Подгорная	2021	9	60.1	2025-10-01	6700000.0
Юбилейная	1970	1	36.3	2025-10-01	400000.0
Школьная	1972	1	31.5	2025-10-01	240000.0
Взлетная	2021	18	74.8	2025-10-01	11300000.0
Авиагородок	1991	6	57.5	2025-10-01	4880000.0
Герцена	1979	4	11.6	2025-10-01	1250000.0
Амурская 21-я	1967	2	41.7	2025-10-01	3700000.0
Сулеймана Стальского	1976	2	43.4	2025-10-01	4600000.0
Клименко	1973	2	61.4	2025-10-01	400000.0
Кордная 5-я	1979	4	44.2	2025-10-01	2560000.0
Лукашевича	1983	4	47.5	2025-10-01	5400000.0
Сергея Тюленина	2025	9	638.6999999999999	2025-10-01	103430000.0
Пролетарская	1988	1	64.2	2025-10-01	5100000.0
Дианова	1977	5	43.5	2025-10-01	900000.0
Красный Путь	2024	2	72.3	2025-10-01	7230000.0
